DATE,ATNHPIUS11460Q
1978-04-01,46.01
1978-07-01,47.45
1978-10-01,52.92
1979-01-01,53.17
1979-04-01,54.9
1979-07-01,57.05
1979-10-01,50.99
1980-01-01,54.91
1980-04-01,54.3
1980-07-01,56.43
1980-10-01,55.65
1981-01-01,57.45
1981-04-01,57.3
1981-07-01,61.23
1981-10-01,.
1982-01-01,.
1982-04-01,55.94
1982-07-01,53.8
1982-10-01,51.4
1983-01-01,52.56
1983-04-01,53.9
1983-07-01,55.32
1983-10-01,53.72
1984-01-01,54.26
1984-04-01,54.47
1984-07-01,54.64
1984-10-01,53.69
1985-01-01,53.63
1985-04-01,55.11
1985-07-01,56.36
1985-10-01,57.02
1986-01-01,57.32
1986-04-01,58.95
1986-07-01,60.52
1986-10-01,62.01
1987-01-01,62.73
1987-04-01,66.12
1987-07-01,69.02
1987-10-01,69.56
1988-01-01,72.14
1988-04-01,74.42
1988-07-01,76.44
1988-10-01,77.93
1989-01-01,79.57
1989-04-01,80.94
1989-07-01,84.27
1989-10-01,84.74
1990-01-01,85.37
1990-04-01,86.38
1990-07-01,86.11
1990-10-01,87.35
1991-01-01,86.96
1991-04-01,89.22
1991-07-01,89.42
1991-10-01,90.42
1992-01-01,91.16
1992-04-01,91.18
1992-07-01,91.85
1992-10-01,91.94
1993-01-01,92.34
1993-04-01,92.64
1993-07-01,93.14
1993-10-01,94.03
1994-01-01,95.08
1994-04-01,95.62
1994-07-01,97.62
1994-10-01,98.89
1995-01-01,100.00
1995-04-01,101.68
1995-07-01,102.79
1995-10-01,104.39
1996-01-01,106.49
1996-04-01,108.42
1996-07-01,110.41
1996-10-01,111.8
1997-01-01,114.07
1997-04-01,116.17
1997-07-01,118.45
1997-10-01,119.72
1998-01-01,121.23
1998-04-01,123.06
1998-07-01,126.18
1998-10-01,126.88
1999-01-01,129.4
1999-04-01,132.59
1999-07-01,136.18
1999-10-01,139.55
2000-01-01,141.5
2000-04-01,144.99
2000-07-01,148.32
2000-10-01,150.21
2001-01-01,152.56
2001-04-01,154.53
2001-07-01,157.53
2001-10-01,158.25
2002-01-01,161.41
2002-04-01,164.38
2002-07-01,165.54
2002-10-01,166.89
2003-01-01,168.44
2003-04-01,169.81
2003-07-01,171.01
2003-10-01,174.44
2004-01-01,174.85
2004-04-01,178.08
2004-07-01,181.26
2004-10-01,182.36
2005-01-01,184.03
2005-04-01,187.45
2005-07-01,187.45
2005-10-01,185.63
2006-01-01,184.85
2006-04-01,181.63
2006-07-01,179.84
2006-10-01,180.84
2007-01-01,179.23
2007-04-01,173.87
2007-07-01,164.48
2007-10-01,164.2
2008-01-01,164.63
2008-04-01,157.32
2008-07-01,150.39
2008-10-01,150.19
2009-01-01,151.89
2009-04-01,147.05
2009-07-01,143.51
2009-10-01,141.12
2010-01-01,140.35
2010-04-01,140.85
2010-07-01,140.41
2010-10-01,140.25
2011-01-01,139.21
2011-04-01,138.55
2011-07-01,138.72
2011-10-01,138.86
2012-01-01,136.46
2012-04-01,138.68
2012-07-01,140.55
2012-10-01,141.77
2013-01-01,145.28
2013-04-01,149.13
2013-07-01,153.44
2013-10-01,156.15
2014-01-01,158.67
2014-04-01,162.92
2014-07-01,165.95
2014-10-01,166.47
2015-01-01,166.8
2015-04-01,172.19
2015-07-01,174.64
2015-10-01,177.51
2016-01-01,177.12
2016-04-01,179.68
2016-07-01,184.75
2016-10-01,184.32
2017-01-01,189.31
2017-04-01,196.03
2017-07-01,200.58
2017-10-01,200.61
2018-01-01,201.55
2018-04-01,210.14
2018-07-01,214.76
2018-10-01,214.38
2019-01-01,216.42
2019-04-01,220.52
2019-07-01,222.63
2019-10-01,222.72
2020-01-01,224.43
2020-04-01,224.92
2020-07-01,228.78
